round	value	daily_double	category	comments	answer	question	air_date	notes\
2	1200	no	I'M GETTING SPACED OUT!	-	It was big science news in 1998 when a fourth ring was discovered around this gigantic planet	Jupiter	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1600	no	I'M GETTING SPACED OUT!	-	This zodiac constellation appears to be pouring water on the sculptor constellation below it	Aquarius	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	2000	yes	I'M GETTING SPACED OUT!	-	If we were on Mars, the atmosphere would be incredibly thin, consisting mainly of this gas	carbon dioxide	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	400	no	YOU'VE GOT COMPANY	-	In 1995 this "M'm M'm Good" soup company bought Pace Foods, known for its picante sauce	Campbell's	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	800	no	YOU'VE GOT COMPANY	-	This company introduced its popular peanut butter cup in the 1920s	Reese's	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1200	no	YOU'VE GOT COMPANY	-	With this company's Mindstorms kits you can build things like "Star Wars" droids	Lego	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1600	no	YOU'VE GOT COMPANY	-	This Donkey Kong company introduced its home video game console in Japan in 1983	Nintendo	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	2000	no	YOU'VE GOT COMPANY	-	You might feel the earth move under your feet using products from this company whose stock symbol is CAT	Caterpillar	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	800	no	RELIGIOUS PLACES	-	In England the Walsingham one in Norfolk is less well known than the Westminster one	abbey	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1600	no	RELIGIOUS PLACES	-	Adult Muslims are required to travel at least once to this city, birthplace of Muhammad	Mecca	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	2000	no	RELIGIOUS PLACES	-	The city of Varanasi, which devout Hindus believe has always existed, is on this river	the Ganges	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	400	no	WORD & PHRASE ORIGINS	-	The name of this manual computing device is from the Greek abax, or "counting board\\"	abacus	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	800	no	WORD & PHRASE ORIGINS	-	\\"Mum's the word" dates back to his "Henry IV, Part 2": "Seal up your lips and give no words, but--mum\\"	Shakespeare	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1200	no	WORD & PHRASE ORIGINS	-	This verb comes from an Old English word for "tremble"; you might do it during a temblor	quake	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	1600	no	WORD & PHRASE ORIGINS	-	\\"Meaningless chatter" in medieval French, it's now the specialized vocabulary of a profession	jargon	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
2	2000	no	WORD & PHRASE ORIGINS	-	The concept "an eye for an eye" didn't originate in the Bible, but in this Babylonian King's "Code\\"	Hammurabi	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
3	0	no	LANDMARKS	-	Located SE of Charlottesville, Virginia, it has 3 stories, an octagonal dome & 33 rooms of varying shapes	Monticello	2005-01-26	2005 Teen Tournament quarterfinal game 1.\
1	200	no	U.S. GEOGRAPHY	-	Of Hawaii's 8 main islands, this one receives the lion's share of the tourist dollars	Oahu	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	400	no	U.S. GEOGRAPHY	-	When the Russians owned Alaska, they referred to this tall peak as Bolshaya Gora	Mt. McKinley	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	600	no	U.S. GEOGRAPHY	-	This river begins in Colorado & empties into the Gulf of Mexico near Brownsville, Texas	Rio Grande	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	800	no	U.S. GEOGRAPHY	-	Florida's panhandle borders these 2 states	Alabama and Georgia	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	no	U.S. GEOGRAPHY	-	This large lake on the New York-Vermont border is Vermont's lowest point	Lake Champlain	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	200	no	FIRST NAME'S THE SAME	-	Cash, Depp	Johnny	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	400	no	FIRST NAME'S THE SAME	-	Bakula, Wolf	Scott	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	600	no	FIRST NAME'S THE SAME	-	Carey, Bledsoe	Drew	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	800	no	FIRST NAME'S THE SAME	-	Lillard, Modine	Matthew	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	no	FIRST NAME'S THE SAME	-	Connelly, Garner, Holliday	Jennifer	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	200	no	NOVELS	-	The 1719 1st edition told of him "having been cast on shore by shipwreck, wherein all... men perished but himself\\"	Robinson Crusoe	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	400	no	NOVELS	-	Even the epilogue is lengthy in this 1869 Tolstoy epic; it comes out in 2 parts &, in our copy, is 105 pages long	War and Peace	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	600	no	NOVELS	-	This 1939 Steinbeck novel helped publicize the plight of Dust Bowl refugees	The Grapes of Wrath	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	800	no	NOVELS	-	Chapter 10 of this 1960 novel begins, "Atticus was feeble: he was nearly fifty\\"	To Kill a Mockingbird	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	no	NOVELS	-	Published in 1949, this futuristic tale is set in Oceania, a few years before you were born	1984	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	200	no	BRIGHT IDEAS	-	Edwin Budding adapted a rotary shearer used to remove excess fibers from carpets into this outdoor tool	the lawnmower	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	400	no	BRIGHT IDEAS	-	In 1948 scientists at Bristol-Meyers "buffered" this medicine for the first time	aspirin	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	600	no	BRIGHT IDEAS	-	Lawrence Sperry used the gyroscope his dad developed in this device that keeps planes on course without human aid	autopilot	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	800	no	BRIGHT IDEAS	-	In 1882 Schuyler Wheeler put a propellor on the shaft of an electric motor & created this--how cool!	a fan	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	no	BRIGHT IDEAS	-	James Fergason invented this type of "display" that found an early use in calculators	LCD (or Liquid Crystal Display)	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	200	no	TEENS IN HISTORY	-	In 1468 this teen was recognized as heiress to the throne of Castile	Queen Isabella	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	400	no	TEENS IN HISTORY	-	She was a teenage farm girl when she beat the famous marksman Frank Butler in an 1870s shooting match	Annie Oakley	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	yes	TEENS IN HISTORY	-	In the 1850s this future sculptor failed the Ecole des Beaux-Arts entrance exam 3 times (think about it)	Rodin	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	800	no	TEENS IN HISTORY	-	Betrothed as a teen to her creepy cousin in 1744, she later became a "Great" empress of Russia	Catherine the Great	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	no	TEENS IN HISTORY	-	Apprenticed to a British shipowner as a teen in the 1740s, he became one of the great explorers of the Pacific	Captain Cook	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	200	no	RHYME TIME	-	An intelligent beginning	a smart start	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	400	no	RHYME TIME	-	A more obese baseball slugger	a fatter batter	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	600	no	RHYME TIME	-	A wealthy sorceress	a rich witch	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	800	no	RHYME TIME	-	Written text of a movie about an underground burial chamber	a crypt script	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	1000	no	RHYME TIME	-	Voraciously eat an "all-purpose" baking ingredient	devour flour	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	400	no	CONSTITUTIONAL AMENDMENTS	-	Of particular interest to the NRA is the amendment that allows us "to keep & bear" these	arms	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	6000	yes	CONSTITUTIONAL AMENDMENTS	-	Under the 5th Amendment, 1 of the 3 things that no person shall be deprived of "without due process of law\\"	life (or liberty or property)	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1200	no	CONSTITUTIONAL AMENDMENTS	-	The 13th Amendment, which abolished slavery, was ratified in this year	1865	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1600	no	CONSTITUTIONAL AMENDMENTS	-	The 24th Amendment says you don't have to pay this type of tax, or any other in order to vote	poll	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	2000	no	CONSTITUTIONAL AMENDMENTS	-	Decade when the 27th & last amendment, having to do with pay raises in Congress, took effect	the 1990s	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	400	no	SPORTS OF THE FEMALE OLYMPIANS	-	Mia Hamm, Brandi Chastain & their 9 teammates on the field	soccer	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	800	no	SPORTS OF THE FEMALE OLYMPIANS	-	Sheryl Swoopes, Lisa Leslie & their 3 teammates on the floor	basketball	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1200	no	SPORTS OF THE FEMALE OLYMPIANS	-	Misty May & Kerri Walsh	beach volleyball	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1600	no	SPORTS OF THE FEMALE OLYMPIANS	-	Mohini Bhardwaj, Courtney Kupets & their 4 teammates	gymnastics	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	2000	no	SPORTS OF THE FEMALE OLYMPIANS	-	Lisa Fernandez, Jennie Finch & their 7 teammates on the field	softball	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	400	no	LOW CUT GENES	-	Because they develop from a single ovum, this variety of twins has the same genetic makeup	identical	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	800	no	LOW CUT GENES	-	Genes that affect hereditary traits are called alleles & are either "dominant" or this	recessive	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1200	no	LOW CUT GENES	-	Since the 1980s this hormone used by diabetics has been produced by genetically engineered bacteria	insulin	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1600	no	LOW CUT GENES	-	A pair of chromosomes with this 2-letter designation makes a woman a woman	XX	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	2000	no	LOW CUT GENES	-	Named for a German neuropathologist, this memory loss disease may be caused by a gene on chromosome 21	Alzheimer's disease	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	400	no	IN THE DICTIONARY	-	This math term comes from the Latin frangere, "to break\\"	fraction	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	800	no	IN THE DICTIONARY	-	This synonym for "room" can precede music & maid	chamber	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1200	no	IN THE DICTIONARY	-	The name of this 6-pointed star comes from the Greek for "six" & "letter\\"	a hexagram	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1600	no	IN THE DICTIONARY	-	The name of this African equine comes from the Portuguese for "wild ass\\"	a zebra	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	800	yes	IN THE DICTIONARY	-	This cutting implement has the same name as a type of dive & a kind of trailer-truck accident	a jackknife	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	400	no	FINE DINING	-	A Vacherin dessert features this crisp concoction of beaten egg whites & sugar	meringue	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	800	no	FINE DINING	-	NYC sushi chef Masa Takayama has paid more than $120 a pound for this fish--a bit pricier than Star-Kist's	tuna	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1200	no	FINE DINING	-	This word for a French stew is pronounced the same as a pasta sauce brand	ragout	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1600	no	FINE DINING	-	A company at Union Wharf in Portland ships all kinds of seafood, but is called "Maine" this creature "Direct\\"	Lobster	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	2000	no	FINE DINING	-	En croute, as in salmon en croute, is French for "in" this, also found on toast	crust	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	400	no	TAKE OUT	-	It's the common operation to remove 2 small oval masses of tissue at the back of the mouth	a tonsillectomy	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	800	no	TAKE OUT	-	A rhytidectomy removes these surgically; botox takes them out another way	wrinkles	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1200	no	TAKE OUT	-	A lobectomy removes one of the 5 lobes of the lungs; a lobotomy takes out part of this organ	the brain	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	1600	no	TAKE OUT	-	A keratotomy is an incision of this eye part; a keratectomy removes part of it	the cornea	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
2	2000	no	TAKE OUT	-	The embolus removed from an artery in an embolectomy is usually one of these obstructions	a (blood) clot	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
3	0	no	MOUNTAINS	-	To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government	Mount Everest	2005-01-27	2005 Teen Tournament quarterfinal game 2.\
1	200	no	THE REVOLUTIONARY WAR	-	After this early battle, Americans retreated over Charlestown Neck	The Battle of Bunker Hill (or Breed's Hill)	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	400	no	THE REVOLUTIONARY WAR	-	On the evening of April 18, 1775 Robert Newman displayed 2 lanterns in this Boston structure	the Old North Church	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	600	no	THE REVOLUTIONARY WAR	-	In 1774 the owner of the Peggy Stewart was forced to burn his ship & its 2,000-pound cargo of this taxed item	tea	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	800	no	THE REVOLUTIONARY WAR	-	On September 23, 1779 he & his men successfully attacked a British convoy off Flamborough Head in the North Sea	John Paul Jones	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	no	THE REVOLUTIONARY WAR	-	After the defeat at Yorktown, Gen. Charles O'Hara, acting for this man, gave his sword to the Americans	Cornwallis	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	200	no	GAME SHOWS	-	The first letter ever turned by Vanna White on this game show was a "T\\"	Wheel of Fortune	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	400	no	GAME SHOWS	-	You might phone a friend on this game show hosted by Meredith Vieira	Who Wants to Be a Millionaire	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	600	no	GAME SHOWS	-	In this "Street"-wise game show, you have to predict answers given by people on the street	Street Smarts	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	800	no	GAME SHOWS	-	9 celebrities in a tic-tac-toe-like grid help contestants score 3 in a row on this show	Hollywood Squares	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	no	GAME SHOWS	-	Richard Karn hosts this game show where 2 clans match wits; survey says...	Family Feud	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	200	no	THE ENVIRONMENT	-	This "colorful" & controversial activist environmental group was formed in Canada in 1971	Greenpeace	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	400	no	THE ENVIRONMENT	-	In 1970 President Nixon created this government body that sets and enforces national pollution control standards	the E.P.A.	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	600	no	THE ENVIRONMENT	-	This triatomic allotrope of oxygen protects us from the full force of harmful ultraviolet rays	ozone	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	800	no	THE ENVIRONMENT	-	An animal fills an ecological one of these in a community, from the French for "nest\\"	niche	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	no	THE ENVIRONMENT	-	In June 1992 over 100 heads of state met in Rio de Janeiro for this environmental "Summit\\"	the Earth Summit	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	200	no	THE 50 STATES	-	The diatonic or "Cajun" accordion is the official musical instrument of this state	Louisiana	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	400	no	THE 50 STATES	-	This state's famous Derby at Churchill Downs is held annually on the first Saturday of May	Kentucky	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	600	no	THE 50 STATES	-	New Englanders refer to this state as "Down East\\"	Maine	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	yes	THE 50 STATES	-	The name of this state comes from 2 Choctaw words that mean "red" & "people\\"	Oklahoma	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	no	THE 50 STATES	-	National Battlefield Parks include Manassas in Virginia & Kennesaw Mountain in this state	Georgia	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	200	no	PHRASES THAT SELL	-	\\"Obey your thirst" and drink this	Sprite	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	400	no	PHRASES THAT SELL	-	\\"Be all that you can be" in this military branch	the Army	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	600	no	PHRASES THAT SELL	-	This network says it's "The most trusted name in news\\"	CNN	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	800	no	PHRASES THAT SELL	-	This shipping company asks, "What can Brown do for you?\\"	UPS	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	no	PHRASES THAT SELL	-	It's the popular query in Verizon's TV ads	Can you hear me now?	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	200	no	THE "UNDER" WORLD	-	Lingerie is a fancy word for it	underwear	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	400	no	THE "UNDER" WORLD	-	Abolitionist "railroad\\"	underground	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	600	no	THE "UNDER" WORLD	-	Vegetation growing beneath the trees in a forest	underbrush	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	800	no	THE "UNDER" WORLD	-	The seaward pull away from shore after a wave has broken	undertow	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
1	1000	no	THE "UNDER" WORLD	-	It means to weaken support for something or to unearth too little ore	undermine	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	400	no	THE EVOLUTIONARY WAR	-	In 1995 Alabama Gov. James Mocked evolution theory by imitating this type of animal whose name means "to imitate\\"	an ape	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	1200	no	THE EVOLUTIONARY WAR	-	He surprised many in 1996 when he told the Pontifical Academy of Science that evolution was no mere hypothesis	Pope John Paul II	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	1000	yes	THE EVOLUTIONARY WAR	-	Orderly people are bothered by the idea of thse random changes in genetic material helping evolution along	mutations	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	2000	no	THE EVOLUTIONARY WAR	-	A 1981 Arkansas law called for balanced teaching of evolution & this opposite type of "science\\"	creationism	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	400	no	WHEN THEY WERE TEENS	-	This TV "Friend" was a cheerleader at Mountain Brook High School in Alabama	Courteney Cox	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	800	no	WHEN THEY WERE TEENS	-	This daughter of Francis Ford Coppola was an intern for fashion designer Karl Lagerfeld in Paris	Sofia Coppola	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	1200	no	WHEN THEY WERE TEENS	-	In 1991 Heather Tom was a teen when she debuted as Victor Newman's daughter on this CBS soap opera	The Young & the Restless	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	1600	no	WHEN THEY WERE TEENS	-	This "boulder" sized wrestler & movie star was a star football player at Freedom High School in Bethlehem, Pa.	The Rock	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	2000	no	WHEN THEY WERE TEENS	-	He was known as Chan Kong Sang in his native Hong Kong where he was a teenage stuntman & fight choreographer	Jackie Chan	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
2	400	no	FAMOUS AMERICANS	-	It was the pen name of beloved children's author Theodor Geisel	Dr. Seuss	2005-01-28	2005 Teen Tournament quarterfinal game 3.\
